locus,start,end,genomic.element,scaffold
SO1318,1373386,1373877,NC_004347.2,139
SO1319,1373879,1374505,NC_004347.2,139
SO1320,1374502,1374891,NC_004347.2,139
SO1321,1374935,1375924,NC_004347.2,139
SO1322,1375956,1376666,NC_004347.2,139
SO1323,1376665,1376871,NC_004347.2,139
SO1324,1376934,1378340,NC_004347.2,139
SO1325,1378347,1382795,NC_004347.2,139
SO1326,1383382,1384311,NC_004347.2,139
SO1327,1384496,1384861,NC_004347.2,139
SO1328,1385079,1385993,NC_004347.2,139
SO1329,1386019,1387026,NC_004347.2,139
SO1330,1387210,1387881,NC_004347.2,139
SO1331,1388572,1389096,NC_004347.2,139
SO1332,1389120,1391354,NC_004347.2,139
SO1333,1391447,1392214,NC_004347.2,139
SO1334,1392260,1393066,NC_004347.2,139
SO1335,1393066,1393860,NC_004347.2,139
SO1336,1393979,1395148,NC_004347.2,139
SO1337,1395151,1395537,NC_004347.2,139
SO1338,1395632,1396540,NC_004347.2,139
SO1339,1396624,1396872,NC_004347.2,139
SO1340,1396853,1397311,NC_004347.2,139
SO1341,1397393,1399006,NC_004347.2,139
SO1342,1399196,1399774,NC_004347.2,139
SO1343,1399817,1400440,NC_004347.2,139
SO1344,1400453,1401385,NC_004347.2,139
SO1345,1401397,1401870,NC_004347.2,139
SO1346,1402038,1403828,NC_004347.2,139
SO1347,1404007,1404924,NC_004347.2,139
SO1348,1404926,1405606,NC_004347.2,139
SO1349,1405603,1406622,NC_004347.2,139
SO1350,1406677,1407378,NC_004347.2,139
SO1351,1407463,1408200,NC_004347.2,139
SO1352,1408200,1408583,NC_004347.2,139
SO1353,1408754,1409281,NC_004347.2,139
SO1354,1409349,1410620,NC_004347.2,139
SO1355,1410722,1411510,NC_004347.2,139
SO1356,1411844,1413217,NC_004347.2,139
SO1357,1413436,1413684,NC_004347.2,139
SO1358,1413702,1414235,NC_004347.2,139
SO1359,1414251,1414997,NC_004347.2,139
SO1360,1415032,1415385,NC_004347.2,139
SO1361,1415682,1416773,NC_004347.2,139
SO1362,1416836,1417975,NC_004347.2,139
SO1363,1418192,1419856,NC_004347.2,139
SO1364,1420073,1421050,NC_004347.2,139
SO1365,1421173,1421508,NC_004347.2,139
SO1366,1421554,1422858,NC_004347.2,139
SO1367,1422953,1424968,NC_004347.2,139
SO1368,1425339,1426847,NC_004347.2,139
SO1369,1427103,1428215,NC_004347.2,139
SO1370,1428212,1429270,NC_004347.2,139
SO1371,1429344,1429853,NC_004347.2,139
SO1372,1429893,1430150,NC_004347.2,139
SO1373,1430177,1430527,NC_004347.2,139
SO1374,1430527,1431042,NC_004347.2,139
SO1375,1431169,1432662,NC_004347.2,139
SO1376,1432963,1433598,NC_004347.2,139
SO1377,1433631,1435409,NC_004347.2,139
SO1378,1435565,1436125,NC_004347.2,139
SO1379,1436226,1436534,NC_004347.2,139
SO1380,1436694,1437452,NC_004347.2,139
SO1381,1437461,1438108,NC_004347.2,139
SO1382,1438456,1439382,NC_004347.2,139
SO1383,1439566,1440867,NC_004347.2,139
SO1385,1441182,1442744,NC_004347.2,139
SO1387,1443222,1444490,NC_004347.2,139
SO1388,1444567,1446372,NC_004347.2,139
SO1389,1446733,1447527,NC_004347.2,139
SO1390,1447588,1448058,NC_004347.2,139
SO1391,1448280,1449611,NC_004347.2,139
SO1392,1449692,1450171,NC_004347.2,139
SO1393,1450446,1451063,NC_004347.2,139
SO1394,1451110,1452066,NC_004347.2,139
SO1395,1452108,1452458,NC_004347.2,139
SO1396,1452650,1453849,NC_004347.2,139
SO1397,1453830,1454267,NC_004347.2,139
SO1398,1454401,1454493,NC_004347.2,139
SO1399,1454563,1454892,NC_004347.2,139
SO1400,1455164,1456042,NC_004347.2,139
SO1401,1456243,1457817,NC_004347.2,139
SO1402,1457876,1458556,NC_004347.2,139
SO1403,1458599,1459873,NC_004347.2,139
SO1404,1459896,1460282,NC_004347.2,139
SO1405,1460995,1462134,NC_004347.2,139
SO1406,1462106,1462468,NC_004347.2,139
SO1407,1462465,1462773,NC_004347.2,139
SO1408,1462811,1465774,NC_004347.2,139
SO1409,1465778,1466356,NC_004347.2,139
SO1410,1466543,1467271,NC_004347.2,139
SO1411,1467456,1468538,NC_004347.2,139
SO1412,1468647,1469780,NC_004347.2,139
SO1413,1469820,1470191,NC_004347.2,139
SO1414,1470195,1471715,NC_004347.2,139
SO1415,1472049,1472831,NC_004347.2,139
SO1416,1473203,1473802,NC_004347.2,139
SO1417,1473777,1475582,NC_004347.2,139
SO1418,1475755,1476882,NC_004347.2,139
SO1419,1477069,1478421,NC_004347.2,139
SO1420,1478439,1479476,NC_004347.2,139
SO1421,1479602,1481371,NC_004347.2,139
SO1422,1481489,1482442,NC_004347.2,139
SO1424,1482705,1484942,NC_004347.2,139
SO1425,1484953,1486695,NC_004347.2,139
SO1427,1488209,1489165,NC_004347.2,139
SO1428,1489180,1491168,NC_004347.2,139
SO1429,1491188,1493698,NC_004347.2,139
SO1430,1493712,1494386,NC_004347.2,139
SO1431,1494444,1495109,NC_004347.2,139
SO1432,1495120,1495587,NC_004347.2,139
SO1434,1495729,1497360,NC_004347.2,139
SO1434.2,1498753,1498842,NC_004347.2,139
SO1436,1498830,1499786,NC_004347.2,139
SO1438,1499994,1501196,NC_004347.2,139
SO1440,1502471,1503229,NC_004347.2,139
SO1441,1503479,1504567,NC_004347.2,139
SO1442,1504937,1506406,NC_004347.2,139
SO1443,1506752,1507399,NC_004347.2,139
SO1444,1507546,1507839,NC_004347.2,139
SO1445,1507802,1508110,NC_004347.2,139
SO1447,1508397,1509119,NC_004347.2,139
SO1448,1509199,1509765,NC_004347.2,139
SO1449,1509789,1509887,NC_004347.2,139
SO1450,1509874,1510281,NC_004347.2,139
SO1451,1510468,1510881,NC_004347.2,139
SO1452,1510865,1511077,NC_004347.2,139
SO1453,1511067,1511441,NC_004347.2,139
SO1454,1511584,1511946,NC_004347.2,139
SO1455,1511987,1512460,NC_004347.2,139
SO1456,1512536,1513492,NC_004347.2,139
SO1457,1514242,1516296,NC_004347.2,139
SO1458,1516293,1517588,NC_004347.2,139
SO1459,1517591,1518253,NC_004347.2,139
SO1460,1518319,1519659,NC_004347.2,139
SO1461,1519669,1523799,NC_004347.2,139
SO1462,1523796,1525442,NC_004347.2,139
SO1463,1525439,1529959,NC_004347.2,139
SO1464,1530014,1530304,NC_004347.2,139
SO1465,1530364,1531173,NC_004347.2,139
SO1466,1531264,1532100,NC_004347.2,139
SO1468,1533023,1534084,NC_004347.2,139
SO1469,1534139,1534393,NC_004347.2,139
SO1470,1535893,1536507,NC_004347.2,139
SO1471,1536626,1537873,NC_004347.2,139
SO1473,1538569,1539060,NC_004347.2,139
SO1474,1539325,1539762,NC_004347.2,139
SO1475,1539752,1540087,NC_004347.2,139
SO1476,1540179,1540670,NC_004347.2,139
SO1478,1541126,1541899,NC_004347.2,139
SO1479,1541944,1542159,NC_004347.2,139
SO1480,1542160,1543950,NC_004347.2,139
SO1481,1544160,1545929,NC_004347.2,139
SO1482,1545994,1548441,NC_004347.2,139
SO1483,1549276,1550925,NC_004347.2,139
SO1484,1551060,1552382,NC_004347.2,139
SO1485,1552695,1552937,NC_004347.2,139
SO1486,1553032,1553400,NC_004347.2,139
SO1487,1553455,1553667,NC_004347.2,139
SO1489,1554157,1554564,NC_004347.2,139
SO1490,1555247,1556395,NC_004347.2,139
SO1492,1556808,1557440,NC_004347.2,139
SO1493,1557948,1560257,NC_004347.2,139
SO1494,1560271,1562511,NC_004347.2,139
SO1495,1562508,1564760,NC_004347.2,139
SO1496,1564763,1567276,NC_004347.2,139
SO1498,1567396,1568658,NC_004347.2,139
SO1499,1568711,1570315,NC_004347.2,139
SO1500,1570452,1573448,NC_004347.2,139
SO1501,1573651,1575021,NC_004347.2,139
SO1502,1575193,1576290,NC_004347.2,139
SO1503,1576304,1577080,NC_004347.2,139
SO1504,1577353,1577946,NC_004347.2,139
SO1505,1578179,1579723,NC_004347.2,139
SO1506,1580143,1581489,NC_004347.2,139
SO1507,1581709,1583220,NC_004347.2,139
SO1508,1583429,1583794,NC_004347.2,139
SO1508.1,1583882,1584391,NC_004347.2,139
SO1510,1584690,1585667,NC_004347.2,139
SO1511,1585954,1587072,NC_004347.2,139
SO1512,1587415,1588062,NC_004347.2,139
SO1513,1588140,1588604,NC_004347.2,139
SO1514,1588969,1589259,NC_004347.2,139
SO1515,1589319,1590128,NC_004347.2,139
SO1517,1590494,1590667,NC_004347.2,139
SO1518,1591198,1591767,NC_004347.2,139
SO1519,1591769,1593163,NC_004347.2,139
SO1520,1593174,1593917,NC_004347.2,139
SO1521,1594219,1596963,NC_004347.2,139
SO1522,1597090,1598733,NC_004347.2,139
SO1523,1599467,1600345,NC_004347.2,139
SO1524,1600445,1601065,NC_004347.2,139
SO1525,1601183,1603051,NC_004347.2,139
SO1526,1603073,1603954,NC_004347.2,139
SO1529,1604511,1605278,NC_004347.2,139
SO1530,1605282,1606208,NC_004347.2,139
SO1531,1606408,1607862,NC_004347.2,139
SO1532,1607995,1608228,NC_004347.2,139
SO1533,1608405,1609316,NC_004347.2,139
SO1534,1609321,1609968,NC_004347.2,139
SO1535,1610064,1610456,NC_004347.2,139
SO1536,1610608,1611693,NC_004347.2,139
SO1537,1611817,1611957,NC_004347.2,139
SO1538,1611929,1612936,NC_004347.2,139
SO1539,1614418,1616007,NC_004347.2,139
SO1541,1617435,1618649,NC_004347.2,139
SO1543,1618967,1619755,NC_004347.2,139
SO1546,1620393,1621373,NC_004347.2,139
SO1547,1621802,1622779,NC_004347.2,139
SO1548,1623349,1623777,NC_004347.2,139
SO1549,1623885,1624595,NC_004347.2,139
SO1550,1624685,1626040,NC_004347.2,139
SO1551,1626097,1627653,NC_004347.2,139
SO1552,1627803,1629965,NC_004347.2,139
SO1552.1,1630280,1630402,NC_004347.2,139
SO1552.2,1630518,1630835,NC_004347.2,139
SO1556,1632124,1633038,NC_004347.2,139
SO1557,1633333,1634298,NC_004347.2,139
SO1558,1634454,1635173,NC_004347.2,139
SO1559,1635254,1636552,NC_004347.2,139
SO1560,1636778,1637749,NC_004347.2,139
SO1561,1638276,1640072,NC_004347.2,139
SO1561.1,1640337,1640552,NC_004347.2,139
SO1562,1640564,1641322,NC_004347.2,139
SO1563,1641586,1642074,NC_004347.2,139
SO1565,1642222,1643592,NC_004347.2,139
SO1566,1643613,1644131,NC_004347.2,139
SO1568,1644294,1644833,NC_004347.2,139
SO1569,1644891,1645742,NC_004347.2,139
SO1570,1645940,1647607,NC_004347.2,139
SO1571,1647665,1650790,NC_004347.2,139
SO1572,1651229,1651393,NC_004347.2,139
SO1575,1651956,1653416,NC_004347.2,139
SO1576,1653520,1654188,NC_004347.2,139
SO1577,1654251,1654877,NC_004347.2,139
SO1578,1655033,1655644,NC_004347.2,139
SO1579,1655710,1656417,NC_004347.2,139
SO1580,1656634,1658847,NC_004347.2,139
SO1581,1658982,1659545,NC_004347.2,139
SO1582,1659719,1660258,NC_004347.2,139
SO1583,1660328,1661341,NC_004347.2,139
SO1585,1661674,1662300,NC_004347.2,139
SO1586,1662321,1662923,NC_004347.2,139
SO1587,1663050,1663556,NC_004347.2,139
SO1588,1663572,1663850,NC_004347.2,139
SO1589,1664141,1664944,NC_004347.2,139
SO1590,1665070,1665492,NC_004347.2,139
SO1591,1665566,1665718,NC_004347.2,139
SO1592,1665902,1666465,NC_004347.2,139
SO1597,1668497,1670140,NC_004347.2,139
SO1599,1670313,1676204,NC_004347.2,139
SO1602,1678564,1686159,NC_004347.2,139
SO1603,1686159,1687067,NC_004347.2,139
SO1604,1687735,1688691,NC_004347.2,139
SO1605,1688813,1689388,NC_004347.2,139
SO1606,1689454,1691445,NC_004347.2,139
SO1607,1691569,1692513,NC_004347.2,139
SO1608,1692561,1693454,NC_004347.2,139
SO1609,1693481,1694131,NC_004347.2,139
SO1610,1694215,1694988,NC_004347.2,139
SO1611,1694988,1695371,NC_004347.2,139
SO1612,1695521,1695919,NC_004347.2,139
SO1613,1695964,1696263,NC_004347.2,139
SO1614,1696347,1696985,NC_004347.2,139
SO1615,1696978,1697283,NC_004347.2,139
SO1616,1698072,1699274,NC_004347.2,139
SO1617,1700628,1701014,NC_004347.2,139
SO1618,1701011,1702024,NC_004347.2,139
SO1619,1702167,1702490,NC_004347.2,139
SO1622,1703700,1704164,NC_004347.2,139
SO1623,1704116,1705615,NC_004347.2,139
SO1624,1705770,1706585,NC_004347.2,139
SO1625,1706796,1707620,NC_004347.2,139
SO1626,1707639,1710224,NC_004347.2,139
SO1627,1710307,1711104,NC_004347.2,139
SO1629,1711414,1712142,NC_004347.2,139
SO1630,1712262,1713113,NC_004347.2,139
SO1631,1713184,1713912,NC_004347.2,139
SO1632,1713943,1714500,NC_004347.2,139
SO1633,1714583,1715410,NC_004347.2,139
SO1634,1715524,1716288,NC_004347.2,139
SO1635,1716293,1717483,NC_004347.2,139
SO1636,1717535,1718905,NC_004347.2,139
SO1637,1718937,1721417,NC_004347.2,139
SO1638,1721474,1721980,NC_004347.2,139
SO1639,1721984,1723009,NC_004347.2,139
SO1640,1723041,1723505,NC_004347.2,139
SO1641,1723502,1724272,NC_004347.2,139
SO1642,1724404,1725561,NC_004347.2,139
SO1643,1725561,1726190,NC_004347.2,139
SO1644,1726307,1729783,NC_004347.2,139
SO1645,1729836,1731230,NC_004347.2,139
SO1646,1731310,1732200,NC_004347.2,139
SO1647,1732372,1734318,NC_004347.2,139
SO1648,1734435,1734644,NC_004347.2,139
SO1649,1735163,1736221,NC_004347.2,139
SO1650,1736303,1736986,NC_004347.2,139
SO1651,1737303,1740515,NC_004347.2,139
SO1652,1740636,1741394,NC_004347.2,139
SO1653,1741411,1742397,NC_004347.2,139
SO1654,1742372,1742725,NC_004347.2,139
SO1655,1742741,1743502,NC_004347.2,139
SO1656,1743565,1744485,NC_004347.2,139
SO1657,1744582,1745316,NC_004347.2,139
SO1658,1745321,1746052,NC_004347.2,139
SO1659,1746105,1748381,NC_004347.2,139
SO1661,1748799,1749785,NC_004347.2,139
SO1662,1750121,1750528,NC_004347.2,139
SO1663,1750651,1751136,NC_004347.2,139
SO1664,1751213,1752226,NC_004347.2,139
SO1665,1752226,1753134,NC_004347.2,139
SO1666,1753458,1754273,NC_004347.2,139
SO1667,1754358,1754696,NC_004347.2,139
SO1669,1754957,1756495,NC_004347.2,139
SO1670,1756837,1757823,NC_004347.2,139
SO1671,1757908,1758558,NC_004347.2,139
SO1672,1758660,1759247,NC_004347.2,139
SO1673,1759718,1760362,NC_004347.2,139
SO1674,1760446,1761189,NC_004347.2,139
SO1675,1761364,1761741,NC_004347.2,139
SO1676,1761811,1762752,NC_004347.2,139
SO1677,1763183,1764373,NC_004347.2,139
SO1678,1764510,1766009,NC_004347.2,139
SO1679,1766172,1767329,NC_004347.2,139
SO1680,1767382,1768155,NC_004347.2,139
SO1681,1768155,1769306,NC_004347.2,139
SO1682,1769390,1770292,NC_004347.2,139
SO1683,1770317,1771075,NC_004347.2,139
SO1685,1771283,1771534,NC_004347.2,139
SO1686,1771605,1773641,NC_004347.2,139
SO1687,1773703,1774092,NC_004347.2,139
SO1689,1774519,1776780,NC_004347.2,139
SO1690,1777149,1778741,NC_004347.2,139
SO1691,1778846,1779379,NC_004347.2,139
SO1692,1779414,1780319,NC_004347.2,139
SO1694,1780495,1783179,NC_004347.2,139
SO1695,1783237,1784193,NC_004347.2,139
SO1697,1784521,1785570,NC_004347.2,139
SO1698,1786213,1786590,NC_004347.2,139
SO1699,1786612,1789839,NC_004347.2,139
SO1700,1790207,1791538,NC_004347.2,139
SO1701,1791549,1792406,NC_004347.2,139
SO1702,1792878,1793246,NC_004347.2,139
SO1703,1793412,1793732,NC_004347.2,139
SO1705,1793878,1794804,NC_004347.2,139
SO1707,1795765,1796886,NC_004347.2,139
SO1708,1797197,1798483,NC_004347.2,139
SO1710,1798793,1799140,NC_004347.2,139
SO1711,1799261,1799788,NC_004347.2,139
SO1712,1800265,1801788,NC_004347.2,139
SO1713,1801808,1802809,NC_004347.2,139
SO1715,1803227,1803778,NC_004347.2,139
SO1716,1803807,1804400,NC_004347.2,139
SO1717,1804716,1805321,NC_004347.2,139
SO1718,1805469,1806293,NC_004347.2,139
SO1720,1806649,1807302,NC_004347.2,139
SO1722,1807678,1808178,NC_004347.2,139
SO1723,1808420,1810636,NC_004347.2,139
SO1724,1810696,1812354,NC_004347.2,139
SO1725,1812412,1813206,NC_004347.2,139
SO1726,1813338,1814048,NC_004347.2,139
SO1727,1814473,1814985,NC_004347.2,139
SO1728,1815221,1815463,NC_004347.2,139
SO1732,1815974,1816648,NC_004347.2,139
SO1733,1816734,1817333,NC_004347.2,139
SO1734,1817400,1817795,NC_004347.2,139
SO1736,1818239,1818841,NC_004347.2,139
SO1737,1818872,1818988,NC_004347.2,139
SO1738,1819077,1819439,NC_004347.2,139
SO1739,1819466,1819699,NC_004347.2,139
SO1741,1819956,1821371,NC_004347.2,139
SO1742,1821611,1822660,NC_004347.2,139
SO1743,1822817,1823773,NC_004347.2,139
SO1744,1823773,1825617,NC_004347.2,139
SO1745,1825758,1826921,NC_004347.2,139
SO1746,1827015,1827254,NC_004347.2,139
SO1747,1827621,1828598,NC_004347.2,139
SO1748,1828761,1830290,NC_004347.2,139
SO1750,1830818,1831696,NC_004347.2,139
SO1751,1831709,1835266,NC_004347.2,139
SO1753,1835403,1836023,NC_004347.2,139
SO1755,1836273,1837994,NC_004347.2,139
SO1756,1838143,1838532,NC_004347.2,139
SO1757,1838632,1839111,NC_004347.2,139
SO1758,1839228,1839920,NC_004347.2,139
SO1759,1839981,1840283,NC_004347.2,139
SO1760,1840280,1840972,NC_004347.2,139
SO1762,1841189,1842025,NC_004347.2,139
SO1763,1842194,1842871,NC_004347.2,139
SO1764,1842898,1843413,NC_004347.2,139
SO1765,1843460,1843777,NC_004347.2,139
SO1766,1844755,1845402,NC_004347.2,139
SO1767,1845399,1846601,NC_004347.2,139
SO1768,1846647,1847369,NC_004347.2,139
SO1769,1847732,1849333,NC_004347.2,139
SO1770,1849618,1850772,NC_004347.2,139
SO1771,1850831,1852189,NC_004347.2,139
SO1771.2,1852780,1853481,NC_004347.2,139
SO1774,1853738,1854961,NC_004347.2,139
SO1775,1854982,1855653,NC_004347.2,139
SO1776,1856169,1858262,NC_004347.2,139
SO1777,1858275,1859276,NC_004347.2,139
SO1778,1859345,1861360,NC_004347.2,139
SO1779,1861690,1863897,NC_004347.2,139
SO1780,1864144,1866063,NC_004347.2,139
SO1781,1866099,1868237,NC_004347.2,139
SO1782,1868251,1869171,NC_004347.2,139
SO1783,1869642,1869881,NC_004347.2,139
SO1784,1869874,1872168,NC_004347.2,139
SO1786,1872353,1874023,NC_004347.2,139
SO1787,1874167,1874763,NC_004347.2,139
SO1788,1875042,1875827,NC_004347.2,139
SO1789,1875889,1876608,NC_004347.2,139
SO1790,1876618,1877112,NC_004347.2,139
SO1791,1877253,1878632,NC_004347.2,139
SO1792,1878808,1879662,NC_004347.2,139
SO1793,1880607,1881911,NC_004347.2,139
SO1794,1882001,1882609,NC_004347.2,139
SO1795,1882709,1883989,NC_004347.2,139
SO1796,1884122,1886479,NC_004347.2,139
SO1797,1886739,1887011,NC_004347.2,139
SO1798,1887238,1889103,NC_004347.2,139
SO1800,1889871,1891073,NC_004347.2,139
SO1801,1891179,1891964,NC_004347.2,139
SO1802,1891945,1892952,NC_004347.2,139
SO1803,1892956,1893846,NC_004347.2,139
SO1804,1893833,1894864,NC_004347.2,139
SO1805,1894864,1896441,NC_004347.2,139
SO1806,1896559,1897650,NC_004347.2,139
SO1807,1897828,1898511,NC_004347.2,139
SO1808,1898529,1898768,NC_004347.2,139
SO1809,1898755,1899141,NC_004347.2,139
SO1810,1899256,1900713,NC_004347.2,139
SO1811,1900710,1901915,NC_004347.2,139
SO1812,1902200,1903393,NC_004347.2,139
SO1813,1903607,1903972,NC_004347.2,139
SO1814,1904444,1904722,NC_004347.2,139
SO1815,1904744,1905658,NC_004347.2,139
SO1816,1905664,1906344,NC_004347.2,139
SO1817,1906354,1907022,NC_004347.2,139
SO1818,1907013,1907786,NC_004347.2,139
SO1819,1907796,1909868,NC_004347.2,139
SO1820,1910054,1912480,NC_004347.2,139
SO1821,1912701,1913897,NC_004347.2,139
SO1822,1914178,1916988,NC_004347.2,139
SO1824,1917616,1918281,NC_004347.2,139
SO1825,1918281,1919636,NC_004347.2,139
SO1826,1919681,1920163,NC_004347.2,139
SO1827,1920177,1920581,NC_004347.2,139
SO1828,1920583,1921206,NC_004347.2,139
SO1829,1921209,1922456,NC_004347.2,139
SO1830,1922508,1923017,NC_004347.2,139
SO1831,1923098,1924927,NC_004347.2,139
SO1832,1925082,1925360,NC_004347.2,139
SO1833,1925479,1926801,NC_004347.2,139
SO1834,1926862,1927398,NC_004347.2,139
SO1835,1927547,1927699,NC_004347.2,139
SO1836,1927722,1928111,NC_004347.2,139
SO1839,1928896,1929723,NC_004347.2,139
SO1840,1929855,1930928,NC_004347.2,139
SO1841,1930925,1931212,NC_004347.2,139
SO1842,1931344,1932072,NC_004347.2,139
SO1843,1932072,1932587,NC_004347.2,139
SO1844,1932998,1935844,NC_004347.2,139
SO1845,1936013,1936444,NC_004347.2,139
SO1846,1936502,1937263,NC_004347.2,139
SO1848,1937409,1938167,NC_004347.2,139
SO1849,1938167,1938706,NC_004347.2,139
SO1850,1938826,1939110,NC_004347.2,139
SO1851,1940872,1943007,NC_004347.2,139
SO1852,1942994,1943239,NC_004347.2,139
SO1853,1943241,1945163,NC_004347.2,139
SO1854,1945192,1947024,NC_004347.2,139
SO1855,1947212,1947388,NC_004347.2,139
SO1856,1947497,1948012,NC_004347.2,139
SO1857,1948086,1949819,NC_004347.2,139
SO1858,1950159,1950755,NC_004347.2,139
SO1860,1951805,1952449,NC_004347.2,139
SO1861,1952556,1954385,NC_004347.2,139
SO1862,1954433,1954981,NC_004347.2,139
SO1863,1955965,1956240,NC_004347.2,139
SO1864,1956431,1957150,NC_004347.2,139
SO1865,1957195,1958103,NC_004347.2,139
SO1866,1958100,1958930,NC_004347.2,139
SO1867,1959024,1959692,NC_004347.2,139
SO1868,1959859,1960698,NC_004347.2,139
SO1870,1961796,1963709,NC_004347.2,139
SO1871,1963912,1964850,NC_004347.2,139
SO1872,1965423,1969691,NC_004347.2,139
SO1873,1970320,1970925,NC_004347.2,139
SO1875,1971228,1972430,NC_004347.2,139
SO1876,1972582,1973265,NC_004347.2,139
SO1877,1973442,1973912,NC_004347.2,139
SO1878,1973916,1974467,NC_004347.2,139
SO1879,1974639,1975523,NC_004347.2,139
SO1880,1975527,1976624,NC_004347.2,139
SO1881,1977241,1978323,NC_004347.2,139
SO1882,1978320,1981415,NC_004347.2,139
SO1883,1981490,1981924,NC_004347.2,139
SO1884,1982026,1982781,NC_004347.2,139
SO1886,1983006,1983368,NC_004347.2,139
SO1887,1983349,1983951,NC_004347.2,139
SO1888,1984854,1985768,NC_004347.2,139
SO1889,1985899,1986165,NC_004347.2,139
SO1890,1986246,1987223,NC_004347.2,139
SO1891,1987930,1988586,NC_004347.2,139
SO1892,1988693,1989397,NC_004347.2,139
SO1893,1989479,1990426,NC_004347.2,139
SO1894,1990428,1992512,NC_004347.2,139
SO1895,1992512,1993378,NC_004347.2,139
SO1896,1993425,1995032,NC_004347.2,139
SO1897,1995149,1996318,NC_004347.2,139
SO1898,1996463,1996867,NC_004347.2,139
SO1899,1997128,1998843,NC_004347.2,139
SO1901,2001494,2001808,NC_004347.2,139
SO1902,2002046,2003572,NC_004347.2,139
SO1903,2003885,2004424,NC_004347.2,139
SO1904,2004397,2005206,NC_004347.2,139
SO1905,2005266,2005556,NC_004347.2,139
SO1907,2006104,2007000,NC_004347.2,139
SO1908,2007150,2007341,NC_004347.2,139
SO1909,2007406,2008215,NC_004347.2,139
SO1910,2008349,2009224,NC_004347.2,139
SO1911,2009613,2010476,NC_004347.2,139
SO1912,2010600,2011466,NC_004347.2,139
SO1913,2011474,2011872,NC_004347.2,139
SO1915,2012448,2016350,NC_004347.2,139
SO1916,2016443,2017324,NC_004347.2,139
SO1917,2017503,2018744,NC_004347.2,139
SO1918,2018850,2020355,NC_004347.2,139
SO1921,2020745,2020948,NC_004347.2,139
SO1922,2021108,2021422,NC_004347.2,139
SO1923,2021479,2024541,NC_004347.2,139
SO1924,2024538,2027813,NC_004347.2,139
SO1925,2027826,2028890,NC_004347.2,139
SO1926,2029175,2030461,NC_004347.2,139
SO1927,2030878,2031273,NC_004347.2,139
SO4778,2031261,2031614,NC_004347.2,139
SO1928,2031615,2033381,NC_004347.2,139
SO1929,2033396,2034103,NC_004347.2,139
SO1930,2034323,2037142,NC_004347.2,139
SO1931,2037191,2038378,NC_004347.2,139
SO1932,2038496,2039662,NC_004347.2,139
SO1933,2039662,2040534,NC_004347.2,139
SO1935,2040912,2041319,NC_004347.2,139
SO1936,2041368,2041865,NC_004347.2,139
SO1937,2041962,2042393,NC_004347.2,139
SO1938,2042650,2043381,NC_004347.2,139
SO1939,2043393,2043842,NC_004347.2,139
SO1940,2043994,2044356,NC_004347.2,139
SO1941,2044482,2045429,NC_004347.2,139
SO1942,2045492,2046754,NC_004347.2,139
SO1944,2047075,2047770,NC_004347.2,139
SO1945,2047776,2049125,NC_004347.2,139
SO1946,2049116,2049790,NC_004347.2,139
SO1947,2049972,2050316,NC_004347.2,139
SO1948,2050482,2051795,NC_004347.2,139
SO1949,2052016,2055729,NC_004347.2,139
SO1950,2056299,2057255,NC_004347.2,139
SO1951,2057299,2057547,NC_004347.2,139
SO1952,2057821,2059560,NC_004347.2,139
SO1953,2059669,2060967,NC_004347.2,139
SO1954,2061045,2061668,NC_004347.2,139
SO1955,2061954,2062406,NC_004347.2,139
SO1956,2062659,2063267,NC_004347.2,139
SO1957,2063278,2064438,NC_004347.2,139
SO1958,2064463,2064924,NC_004347.2,139
SO1959,2065014,2065925,NC_004347.2,139
SO1960,2065922,2066383,NC_004347.2,139
SO1961,2066844,2067422,NC_004347.2,139
SO1962,2067510,2068550,NC_004347.2,139
SO1963,2068671,2069831,NC_004347.2,139
SO1964,2069825,2069926,NC_004347.2,139
SO1965,2070050,2070964,NC_004347.2,139
SO1966,2071113,2071907,NC_004347.2,139
SO1967,2072028,2073293,NC_004347.2,139
SO1968,2073735,2074067,NC_004347.2,139
SO1969,2074125,2074586,NC_004347.2,139
SO1970,2074785,2075264,NC_004347.2,139
SO1971,2075392,2077128,NC_004347.2,139
SO1973,2077699,2078406,NC_004347.2,139
SO1974,2078479,2079693,NC_004347.2,139
SO1975,2079919,2080947,NC_004347.2,139
SO1976,2080944,2081822,NC_004347.2,139
SO1977,2081839,2082246,NC_004347.2,139
SO1978,2082501,2083493,NC_004347.2,139
SO1979,2083546,2084259,NC_004347.2,139
SO1980,2084616,2085521,NC_004347.2,139
SO1981,2085532,2087004,NC_004347.2,139
SO1985,2088414,2089106,NC_004347.2,139
SO1986,2089099,2089767,NC_004347.2,139
SO1987,2089890,2090441,NC_004347.2,139
SO1988,2090538,2091152,NC_004347.2,139
SO1989,2091375,2092319,NC_004347.2,139
SO1990,2092510,2093154,NC_004347.2,139
SO1991,2093203,2093562,NC_004347.2,139
SO1993,2093739,2093981,NC_004347.2,139
SO1994,2093972,2095273,NC_004347.2,139
SO1995,2095496,2095984,NC_004347.2,139
SO1997,2096495,2098381,NC_004347.2,139
SO1998,2098652,2098879,NC_004347.2,139
SO1999,2098960,2099625,NC_004347.2,139
SO2001,2099989,2101698,NC_004347.2,139
SO2002,2102082,2102984,NC_004347.2,139
SO2004,2103703,2104182,NC_004347.2,139
SO2005,2104257,2104616,NC_004347.2,139
SO2006,2104758,2105705,NC_004347.2,139
