tax	Score	N	reference
277	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/425/GCA_000024425.1_ASM2442v1
1689	1	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/445/GCA_000024445.1_ASM2444v1
767892	0.48	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/465/GCA_000024465.1_ASM2446v1
769	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/505/GCA_000024505.1_ASM2450v1
108	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/525/GCA_000024525.1_ASM2452v1
283811	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/545/GCA_000024545.1_ASM2454v1
34105	1	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/565/GCA_000024565.1_ASM2456v1
42838	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/605/GCA_000024605.1_ASM2460v1
73913	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/625/GCA_000024625.1_ASM2462v1
1166016	1	11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/645/GCA_000024645.1_ASM2464v1
833	0.97	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/665/GCA_000024665.1_ASM2466v1
481743	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/685/GCA_000024685.1_ASM2468v1
544556	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/705/GCA_000024705.1_ASM2470v1
133539	0.61	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/725/GCA_000024725.1_ASM2472v1
927	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/765/GCA_000024765.1_ASM2476v1
2054	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/785/GCA_000024785.1_ASM2478v1
80816	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/805/GCA_000024805.1_ASM2480v1
150340	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/825/GCA_000024825.1_ASM2482v1
29549	1	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/845/GCA_000024845.1_ASM2484v1
2001	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/865/GCA_000024865.1_ASM2486v1
65553	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/885/GCA_000024885.1_ASM2488v1
81462	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/905/GCA_000024905.1_ASM2490v1
60920	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/925/GCA_000024925.1_ASM2492v1
29466	1	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/945/GCA_000024945.1_ASM2494v1
186189	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/965/GCA_000024965.1_ASM2496v1
2057	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/985/GCA_000024985.1_ASM2498v1
166501	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/005/GCA_000025005.1_ASM2500v1
204042	1	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/065/GCA_000025065.1_ASM2506v1
28035	1	13	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/085/GCA_000025085.1_ASM2508v1
93930	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/105/GCA_000025105.1_ASM2510v1
713887	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/125/GCA_000025125.1_ASM2512v1
125	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/185/GCA_000025185.1_ASM2518v1
2702	1	7	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/205/GCA_000025205.1_ASM2520v1
699245	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/225/GCA_000025225.2_ASM2522v1
191495	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/265/GCA_000025265.1_ASM2526v1
84156	0.87	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/285/GCA_000025285.1_ASM2528v1
905	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/305/GCA_000025305.1_ASM2530v1
62320	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/325/GCA_000025325.1_ASM2532v1
1861	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/345/GCA_000025345.1_ASM2534v1
2096	1	16	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/365/GCA_000025365.1_ASM2536v1
553	1	9	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/405/GCA_000025405.2_ASM2540v1
1049	0.5	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/485/GCA_000025485.1_ASM2548v1
54261	0.49	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/505/GCA_000025505.1_ASM2550v1
644281	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/525/GCA_000025525.1_ASM2552v1
396595	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/545/GCA_000025545.1_ASM2554v1
550	1	29	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/565/GCA_000025565.1_ASM2556v1
136094	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/605/GCA_000025605.1_ASM2560v1
13769	0.95	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/625/GCA_000025625.1_ASM2562v1
108150	0	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/645/GCA_000025645.1_ASM2564v1
379547	0.78	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/665/GCA_000025665.1_ASM2566v1
2246	0.9	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/685/GCA_000025685.1_ASM2568v1
63745	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/705/GCA_000025705.1_ASM2570v1
118000	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/725/GCA_000025725.1_ASM2572v1
1404	1	11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/805/GCA_000025805.1_ASM2580v1
50052	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/845/GCA_000025845.1_ASM2584v1
2176	0.5	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/865/GCA_000025865.1_ASM2586v1
81468	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/885/GCA_000025885.1_ASM2588v1
395922	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/905/GCA_000025905.1_ASM2590v1
839	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/925/GCA_000025925.1_ASM2592v1
84980	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/945/GCA_000025945.1_ASM2594v1
551760	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/965/GCA_000025965.1_ASM2596v1
779	0.97	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/050/405/GCA_000050405.1_ASM5040v1
83555	1	8	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/025/GCA_000026025.1_ASM2602v1
2257	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/045/GCA_000026045.1_ASM2604v1
1599	1	17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/065/GCA_000026065.1_ASM2606v1
228	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/085/GCA_000026085.1_ASM2608v1
312306	0.97	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/105/GCA_000026105.1_ASM2610v1
204773	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/125/GCA_000026125.1_ASM2612v1
114615	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/145/GCA_000026145.1_ASM2614v1
338565	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/185/GCA_000026185.1_ASM2618v1
37692	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/205/GCA_000026205.1_ASM2620v1
564	1	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/225/GCA_000026225.1_ASM2622v1
33964	0.99	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/405/GCA_000026405.1_ASM2640v1
261524	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/445/GCA_000026445.2_ASM2644v2
1769	1	4	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/685/GCA_000026685.1_ASM2668v1
413502	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/065/GCA_000027065.2_ASM2706v1
67825	0.99	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/085/GCA_000027085.1_ASM2708v1
1640	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/145/GCA_000027145.1_ASM2714v1
28037	0.97	5	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/165/GCA_000027165.1_ASM2716v1
315405	0.97	7	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/185/GCA_000027185.1_ASM2718v1
552	1	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/205/GCA_000027205.1_ASM2720v1
40576	1	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/225/GCA_000027225.1_ASM2722v1
79967	1	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/265/GCA_000027265.1_ASM2726v1
2097	0.99	5	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/325/GCA_000027325.1_ASM2732v1
2104	1	50	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/345/GCA_000027345.1_ASM2734v1
203907	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/043/285/GCA_000043285.1_ASM4328v1
803	0.97	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/046/685/GCA_000046685.1_ASM4668v1
38323	0.97	5	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/046/705/GCA_000046705.1_ASM4670v1
62977	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/046/845/GCA_000046845.1_ASM4684v1
202950	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/046/845/GCA_000046845.1_ASM4684v1
158080	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/055/785/GCA_000055785.1_ASM5578v1
29546	0.99	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/055/945/GCA_000055945.1_ASM5594v1
1859	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/058/485/GCA_000058485.1_ASM5848v1
1643	1	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/060/285/GCA_000060285.1_ASM6028v1
411153	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/060/345/GCA_000060345.1_ASM6034v1
62928	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/061/505/GCA_000061505.1_ASM6150v1
1836	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/062/885/GCA_000062885.1_ASM6288v1
1175445	0.82	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/063/445/GCA_000063445.1_ASM6344v1
28447	1	7	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/063/485/GCA_000063485.1_ASM6348v1
32051	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/063/505/GCA_000063505.1_ASM6350v1
316278	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/063/525/GCA_000063525.1_ASM6352v1
2110	0.97	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/063/605/GCA_000063605.1_ASM6360v1
96345	0.97	14	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/064/305/GCA_000064305.2_ASM6430v2
56	1	5	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/067/165/GCA_000067165.1_ASM6716v1
94624	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/067/205/GCA_000067205.1_ASM6720v1
36809	1	33	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/069/185/GCA_000069185.1_ASM6918v1
164546	0.97	44	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/069/785/GCA_000069785.1_ASM6978v1
59748	0.97	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/069/925/GCA_000069925.1_ASM6992v1
43771	1	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/069/945/GCA_000069945.1_ASM6994v1
584	1	22	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/069/965/GCA_000069965.1_ASM6996v1
521	0.97	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/070/465/GCA_000070465.1_ASM7046v1
263437	0.97	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/073/005/GCA_000073005.1_ASM7300v1
2098	0.97	7	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/085/865/GCA_000085865.1_ASM8586v1
29447	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/087/965/GCA_000087965.1_ASM8796v1
641148	0.93	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/090/875/GCA_000090875.1_ASM9087v1
332056	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/125/GCA_000091125.1_ASM9112v1
671143	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/165/GCA_000091165.1_ASM9116v1
1930	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/305/GCA_000091305.1_ASM9130v1
60217	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/325/GCA_000091325.1_ASM9132v1
212663	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/465/GCA_000091465.1_ASM9146v1
2190	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/665/GCA_000091665.1_ASM9166v1
1744	1	25	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/725/GCA_000091725.1_ASM9172v1
450	0.97	5	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/785/GCA_000091785.1_ASM9178v1
217	1	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/985/GCA_000091985.1_ASM9198v1
1176649	0.97	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/025/GCA_000092025.1_ASM9202v1
120	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/105/GCA_000092105.1_ASM9210v1
52022	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/125/GCA_000092125.1_ASM9212v1
54254	0.82	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/185/GCA_000092185.1_ASM9218v1
427923	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/205/GCA_000092205.1_ASM9220v1
2061	1	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/225/GCA_000092225.1_ASM9222v1
28199	0.35	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/245/GCA_000092245.1_ASM9224v1
480	1	13	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/265/GCA_000092265.1_ASM9226v1
88688	0.97	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/285/GCA_000092285.1_ASM9228v1
67760	0.49	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/305/GCA_000092305.1_ASM9230v1
28264	1	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/365/GCA_000092365.1_ASM9236v1
379067	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/385/GCA_000092385.1_ASM9238v1
86170	0.95	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/405/GCA_000092405.1_ASM9240v1
332249	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/425/GCA_000092425.1_ASM9242v1
691437	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/445/GCA_000092445.1_ASM9244v1
84599	0.8	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/465/GCA_000092465.1_ASM9246v1
136609	0.99	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/505/GCA_000092505.1_ASM9250v1
624	1	18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/525/GCA_000092525.1_ASM9252v1
926	0.97	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/605/GCA_000092605.1_ASM9260v1
2006	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/645/GCA_000092645.1_ASM9264v1
71667	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/785/GCA_000092785.1_ASM9278v1
286802	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/825/GCA_000092825.1_ASM9282v1
84378	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/845/GCA_000092845.1_ASM9284v1
1711	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/865/GCA_000092865.1_ASM9286v1
640511	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/885/GCA_000092885.1_ASM9288v1
33943	0.5	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/905/GCA_000092905.1_ASM9290v1
921	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/925/GCA_000092925.1_ASM9292v1
863643	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/945/GCA_000092945.1_ASM9294v1
583357	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/965/GCA_000092965.1_ASM9296v1
2014	1	4	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/985/GCA_000092985.1_ASM9298v1
1055487	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/093/025/GCA_000093025.1_ASM9302v1
401619	0.93	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/093/065/GCA_000093065.1_ASM9306v1
85683	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/093/085/GCA_000093085.1_ASM9308v1
473531	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/085/GCA_000143085.1_ASM14308v1
53399	0.97	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/145/GCA_000143145.1_ASM14314v1
552810	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/165/GCA_000143165.1_ASM14316v1
964	0.97	4	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/225/GCA_000143225.1_ASM14322v1
1538	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/685/GCA_000143685.1_ASM14368v1
1719	1	99	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/705/GCA_000143705.1_ASM14370v1
52584	0.97	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/725/GCA_000143725.1_ASM14372v1
258	0.97	4	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/765/GCA_000143765.1_ASM14376v1
38288	1	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/825/GCA_000143825.1_ASM14382v1
133926	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/845/GCA_000143845.1_ASM14384v1
337191	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/885/GCA_000143885.2_ASM14388v2
453230	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/965/GCA_000143965.1_ASM14396v1
55206	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/985/GCA_000143985.1_ASM14398v1
1050843	0.98	5	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/204/235/GCA_000204235.2_ASM20423v2
28132	0.95	4	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/405/GCA_000144405.1_ASM14440v1
74313	0.95	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/605/GCA_000144605.1_ASM14460v1
291990	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/645/GCA_000144645.1_ASM14464v1
28187	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/695/GCA_000144695.1_ASM14469v1
242703	0.9	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/915/GCA_000144915.1_ASM14491v1
469610	0.91	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/975/GCA_000144975.1_ASM14497v1
43305	0.5	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/145/035/GCA_000145035.1_ASM14503v1
717609	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/145/215/GCA_000145215.1_ASM14521v1
47850	1	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/145/235/GCA_000145235.1_ASM14523v1
370405	0.39	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/145/255/GCA_000145255.1_ASM14525v1
1493	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/145/275/GCA_000145275.1_ASM14527v1
145263	0.9	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/145/295/GCA_000145295.1_ASM14529v1
457398	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/145/315/GCA_000145315.2_Desulfovibrio_sp3_1_syn3_V2
1517	1	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/145/615/GCA_000145615.1_ASM14561v1
2100	0.97	8	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/211/295/GCA_000211295.1_ASM21129v1
334771	0.85	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/145/985/GCA_000145985.1_ASM14598v1
167965	0.96	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/025/GCA_000146025.1_ASM14602v1
456827	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/065/GCA_000146065.1_ASM14606v1
70863	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/165/GCA_000146165.2_ASM14616v2
714	1	11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/163/615/GCA_000163615.3_ASM16361v3
38284	0.95	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/159/115/GCA_000159115.1_ASM15911v1
189722	0.94	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/675/GCA_000146675.1_ASM14667v1
712630	0.93	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/755/GCA_000146755.1_ASM14675v1
1406	1	19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/985/GCA_000164985.2_ASM16498v2
2052	0.96	9	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/485/GCA_000148485.2_ASM14848v1
884215	0.9	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/015/GCA_000147015.1_ASM14701v1
204038	0.99	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/055/GCA_000147055.1_ASM14705v1
154	1	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/075/GCA_000147075.1_ASM14707v1
497965	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/335/GCA_000147335.1_ASM14733v1
202747	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/355/GCA_000147355.1_ASM14735v1
46354	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/695/GCA_000147695.3_ASM14769v3
1184387	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/715/GCA_000147715.3_ASM14771v3
68280	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/815/GCA_000147815.3_ASM14781v3
46429	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/835/GCA_000147835.3_ASM14783v3
54120	0.88	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/875/GCA_000147875.1_ASM14787v1
164451	0.5	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/385/GCA_000148385.1_ASM14838v1
573062	0.93	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/425/GCA_000148425.1_ASM14842v1
2115	0.97	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/625/GCA_000148625.1_ASM14862v1
44012	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/645/GCA_000148645.1_ASM14864v1
640512	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/685/GCA_000148685.1_ASM14868v1
744980	0.94	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/725/GCA_000148725.1_ASM14872v1
470934	1	6	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/935/GCA_000148935.1_ASM14893v1
68892	0.98	11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/335/GCA_000223335.2_ASM22333v2
