biggID,seedID,gpr_iML1515,gpr_carveme,test.cm,gpr_modelseed,test.ms,gpr_gapseq,test.gs
GALabcpp,rxn05162,((b2148 and b2149 and b2150) or (b4227 and b4230 and b4485 and b4231)),((b2148 and b2149) or (b2148 and b2150) or (b4227 and b4485) or (b4230 and b4485) or (b2148 and b2149 and b2150) or (b4227 and b4230 and b4231) or (b4227 and b4230 and b4485) or (b4227 and b4231 and b4485) or (b4230 and b4231 and b4485) or (b4227 and b4230 and b4231 and b4485)),FALSE,,,b2149 or b2150 or b3749,FALSE
PDH,rxn00154,(b0115 and b0116 and b0114),(b0304 or (b0114 and b0116) or (b0114 and b0115 and b0116)),FALSE,,,((b0871 or b0115 or b0114 or b0113 or b0116 or b0077 or b0727)) or b3962 or b0304,FALSE
GLCabcpp,rxn05147,(b2149 and b2148 and b2150),((b2148 and b2149) or (b2148 and b2150) or (b2148 and b2149 and b2150)),FALSE,,,b3450,FALSE
GAMptspp,rxn05569,(b2415 and b2416 and b1819 and b1817 and b1818),(b2415 or (b1818 and b1819 and b2415 and b2416) or (b1817 and b1818 and b1819 and b2415 and b2416)),FALSE,((b2416 or b2383 or b3947) and Unknown),FALSE,,
THIORDXi,rxn09296,((b3781 and b2480) or b1710 or (b2582 and b2480)),(b0492 or b0605 or b1710 or (b0492 and b2480) or (b2480 and b2582) or (b2480 and b3781)),FALSE,b3781,FALSE,,
NADH16pp,rxn08972,(b2279 and b2277 and b2284 and b2282 and b2278 and b2288 and b2276 and b2287 and b2283 and b2281 and b2286 and b2280 and b2285),((b2281 and b2282 and b2284 and b2286 and b2287) or (b2276 and b2277 and b2278 and b2279 and b2280 and b2281 and b2282 and b2283 and b2284 and b2285 and b2286 and b2287) or (b2277 and b2278 and b2279 and b2280 and b2281 and b2282 and b2283 and b2284 and b2285 and b2286 and b2287 and b2288) or (b2276 and b2277 and b2278 and b2279 and b2280 and b2281 and b2282 and b2283 and b2284 and b2285 and b2286 and b2287 and b2288)),FALSE,,,((b2283 or b2278 or b2284 or b2286 or b2276 or b2482 or b2277 or b2276 or b2287 or b2280 or b2282 or b2285 or b2721 or b2487 or b2723 or b2288 or b2286 or b2281 or b1627) and (b0972 or b2997) and b2484 and b1632 and b2486 and (b2719 or b2489) and (b3650 or b0869 or b4079 or b2844 or b2224 or b2784 or b1397 or b2304 or b1587 or b0894 or b3845 or b1588 or b2206 or b1109)),FALSE
NADH18pp,rxn08974,(b2279 and b2277 and b2284 and b2282 and b2278 and b2288 and b2276 and b2287 and b2283 and b2281 and b2286 and b2280 and b2285),((b2281 and b2282 and b2284 and b2286 and b2287) or (b2276 and b2277 and b2278 and b2279 and b2280 and b2281 and b2282 and b2283 and b2284 and b2285 and b2286 and b2287) or (b2277 and b2278 and b2279 and b2280 and b2281 and b2282 and b2283 and b2284 and b2285 and b2286 and b2287 and b2288) or (b2276 and b2277 and b2278 and b2279 and b2280 and b2281 and b2282 and b2283 and b2284 and b2285 and b2286 and b2287 and b2288)),FALSE,,,((b2283 or b2278 or b2284 or b2286 or b2276 or b2482 or b2277 or b2276 or b2287 or b2280 or b2282 or b2285 or b2721 or b2487 or b2723 or b2288 or b2286 or b2281 or b1627) and (b0972 or b2997) and b2484 and b1632 and b2486 and (b2719 or b2489) and (b3650 or b0869 or b4079 or b2844 or b2224 or b2784 or b1397 or b2304 or b1587 or b0894 or b3845 or b1588 or b2206 or b1109)),FALSE
NADH17pp,rxn08973,(b2279 and b2277 and b2284 and b2282 and b2278 and b2288 and b2276 and b2287 and b2283 and b2281 and b2286 and b2280 and b2285),((b2281 and b2282 and b2284 and b2286 and b2287) or (b2276 and b2277 and b2278 and b2279 and b2280 and b2281 and b2282 and b2283 and b2284 and b2285 and b2286 and b2287) or (b2277 and b2278 and b2279 and b2280 and b2281 and b2282 and b2283 and b2284 and b2285 and b2286 and b2287 and b2288) or (b2276 and b2277 and b2278 and b2279 and b2280 and b2281 and b2282 and b2283 and b2284 and b2285 and b2286 and b2287 and b2288)),FALSE,,,((b2283 or b2278 or b2284 or b2286 or b2276 or b2482 or b2277 or b2276 or b2287 or b2280 or b2282 or b2285 or b2721 or b2487 or b2723 or b2288 or b2286 or b2281 or b1627) and (b0972 or b2997) and b2484 and b1632 and b2486 and (b2719 or b2489) and (b3650 or b0869 or b4079 or b2844 or b2224 or b2784 or b1397 or b2304 or b1587 or b0894 or b3845 or b1588 or b2206 or b1109)),FALSE
ARBTptspp,rxn05501,((b3722 and b2416 and b2415) or (b2715 and b2416 and b2415)),((b2415 and b2416) or (b2415 and b2416 and b2716) or (b2415 and b2416 and b3722) or (b2415 and b2416 and b2715)),FALSE,(b3722 and Unknown and (b3947 or b2416 or b2383) and b3722 and b3722),FALSE,,
SPMDt3pp,rxn05652,(b1600 and b1599),(b1599 and b1600),TRUE,,,b1600,FALSE
ACHBS,,((b3670 and b3671) or (b0077 and b0078)),(b3671 or b3769 or (b0078 and b0077) or (b3670 and b3671)),FALSE,,,,
ACLS,,((b0077 and b0078) or (b3670 and b3671)),(b3671 or b3769 or (b0078 and b0077) or (b3670 and b3671)),FALSE,,,,
GLYCL,,(b2904 and b2903 and b0116 and b2905),(b0116 or b0304 or (b0116 and b2903) or (b0116 and b2903 and b2904) or (b0116 and b2903 and b2904 and b2905)),FALSE,,,,
AACPS1,,(b1094 and b2836),(b1094 or b2836 or (b1094 and b2836)),FALSE,,,,
BUTCT,,(b2222 and b2221),(b2221 or b2222 or (b2221 and b2222)),FALSE,,,,
AACPS2,,(b1094 and b2836),(b1094 or b2836 or (b1094 and b2836)),FALSE,,,,
AACPS3,,(b1094 and b2836),(b1094 or b2836 or (b1094 and b2836)),FALSE,,,,
AACPS4,,(b2836 and b1094),(b1094 or b2836 or (b1094 and b2836)),FALSE,,,,
PDX5PS,rxn09072,(b2564 and b0052),(b2564 or (b0052 and b2564)),FALSE,,,,
PPPNDO,,(b2542 and b2538 and b2540 and b2539),((b2538 and b2540 and b2542) or (b2539 and b2540 and b2542) or (b2538 and b2539 and b2540 and b2542)),FALSE,,,,
NO3R1bpp,rxn09000,(b2205 and b2202 and b2204 and (b2206 and b2203)),(b2202 and b2203 and b2204 and b2205 and b2206),TRUE,,,,
NO3R2pp,rxn09003,((b1467 and b1468 and b1466 and b1465) or (b1224 and b1227 and b1226 and b1225)),(b1467 or (b1224 and b1225 and b1227) or (b1224 and b1225 and b1466) or (b1225 and b1226 and b1227) or (b1466 and b1467 and b1468) or (b1224 and b1225 and b1226 and b1227) or (b1224 and b1225 and b1465 and b1466) or (b1465 and b1466 and b1467 and b1468)),FALSE,,,,
NO3R2bpp,rxn09002,((b2206 and b2203) and b2202),(b2202 and b2203 and b2206),TRUE,,,,
TMAOR1pp,rxn09314,((b0997 and b0996) or (b1872 and b1873)),(b1872 or b1873 or (b0996 and b0997) or (b1872 and b1873)),FALSE,,,,
TMAOR2pp,rxn09316,((b0997 and b0996) or (b1872 and b1873)),(b1872 or b1873 or (b0996 and b0997) or (b1872 and b1873)),FALSE,,,,
XYLUt2pp,rxn09386,(b3577 and b3578 and b3579),(b3579 or (b3579 and b3578) or (b3577 and b3579 and b3578)),FALSE,,,,
FEOXAMabcpp,rxn05558,(b0152 and b0153 and b0151),(b0151 or (b0151 and b0152 and b0153)),FALSE,,,,
ACMANAptspp,rxn08046,(b2415 and b1818 and b2416 and b1817 and b1819),(b2415 or (b1818 and b1819 and b2415 and b2416) or (b1817 and b1818 and b1819 and b2415 and b2416)),FALSE,,,,
FEENTERabcpp,,(b0589 and b0592 and b0590 and b0588),(b0588 or (b0588 and b0589 and b0590 and b0592)),FALSE,,,,
DMSOR1pp,rxn08355,(b1872 and b1873),(b1872 or b1873 or (b1872 and b1873)),FALSE,,,,
ALLabcpp,rxn05185,(b4087 and b4088 and b4086),((b4086 and b4088) or (b4087 and b4088) or (b4086 and b4087 and b4088)),FALSE,,,,
ARBabcpp,,(b4460 and b1901 and b1900),((b1900 and b1901) or (b1901 and b4460) or (b1900 and b1901 and b4460)),FALSE,,,,
HYD2pp,rxn08735,((b0973 and b0974 and b0972) or (b2994 and b2997 and b2996 and b2995)),((b0972 and b0974) or (b2994 and b2997) or (b0972 and b0973 and b0974) or (b2994 and b2995 and b2996 and b2997)),FALSE,,,,
FE3DCITabcpp,rxn08478,(b4287 and b4288 and b4289 and b4290),((b4288 and b4289 and b4290) or (b4287 and b4288 and b4289 and b4290)),FALSE,,,,
FE3DCITtonex,rxn08479,((b1252 and b3005 and b3006) and b4291),((b0737 and b0738) or (b1252 and b3005 and b3006 and b4291)),FALSE,,,,
FEENTERtonex,,(b0584 and (b1252 and b3005 and b3006)),((b0737 and b0738) or (b0584 and b1252 and b3005 and b3006)),FALSE,,,,
BUTSO3abcpp,rxn05512,((b0934 and b0933 and b0936) or (b0366 and b0365 and b0367)),(b0367 or b0934 or b0936 or (b0366 and b0367) or (b0933 and b0934) or (b0933 and b0936) or (b0934 and b0936) or (b0365 and b0366 and b0367) or (b0933 and b0934 and b0936)),FALSE,,,,
ETHSO3abcpp,rxn05552,(b0934 and b0933 and b0936),(b0934 or b0936 or (b0933 and b0934) or (b0933 and b0936) or (b0934 and b0936) or (b0933 and b0934 and b0936)),FALSE,,,,
O16AP2pp,,(b2027 and b2035),(b2027 and b2035),TRUE,,,,
O16AP3pp,,(b2027 and b2035),(b2027 and b2035),TRUE,,,,
SULFACabcpp,rxn05656,(b0934 and b0933 and b0936),(b0934 or b0936 or (b0933 and b0934) or (b0933 and b0936) or (b0934 and b0936) or (b0933 and b0934 and b0936)),FALSE,,,,
PHEMEabcpp,,(b2198 and b2199 and b2197 and b2200 and b2201),((b0406 and b0407 and b0408) or (b2199 and b2200 and b2201) or (b2197 and b2198 and b2200 and b2201) or (b2197 and b2199 and b2200 and b2201) or (b2197 and b2198 and b2199 and b2200 and b2201)),FALSE,,,,
ECAP1pp,,(b3785 and b3793),(b3785 and b3793),TRUE,,,,
ECAP2pp,,(b3785 and b3793),(b3785 and b3793),TRUE,,,,
NHFRBO,,(b2711 and b2710),(b2710 or b2711 or (b2710 and b2711)),FALSE,,,,
RNDR3b,rxn09233,((b0849 and (b2675 and b2676)) or ((b2675 and b2676) and b3610) or ((b2675 and b2676) and b1064) or ((b2675 and b2676) and b1654)),(b1654 or (b0849 and b2676) or (b1064 and b2676) or (b1654 and b2676) or (b2676 and b3610) or (b0849 and b2675 and b2676) or (b1064 and b2675 and b2676) or (b1654 and b2675 and b2676) or (b2675 and b2676 and b3610)),FALSE,,,,
RNDR4b,rxn09234,((b0849 and (b2675 and b2676)) or ((b2675 and b2676) and b3610) or ((b2675 and b2676) and b1654) or ((b2675 and b2676) and b1064)),(b1654 or (b0849 and b2676) or (b1064 and b2676) or (b1654 and b2676) or (b2676 and b3610) or (b0849 and b2675 and b2676) or (b1064 and b2675 and b2676) or (b1654 and b2675 and b2676) or (b2675 and b2676 and b3610)),FALSE,,,,
ISETACabcpp,rxn05594,((b0365 and b0366 and b0367) or (b0933 and b0934 and b0936)),(b0367 or b0934 or b0936 or (b0366 and b0367) or (b0933 and b0934) or (b0933 and b0936) or (b0934 and b0936) or (b0365 and b0366 and b0367) or (b0933 and b0934 and b0936)),FALSE,,,,
NTRIR4pp,rxn09019,(b4070 and b4071 and b4072 and b4073),((b4070 and b4072 and b4073) or (b4070 and b4071 and b4072 and b4073)),FALSE,,,,
NTRIR3pp,rxn09018,(b4070 and b4071 and b4072 and b4073),((b4070 and b4072 and b4073) or (b4070 and b4071 and b4072 and b4073)),FALSE,,,,
MSO3abcpp,rxn05621,(b0933 and b0936 and b0934),(b0934 or b0936 or (b0933 and b0934) or (b0933 and b0936) or (b0934 and b0936) or (b0933 and b0934 and b0936)),FALSE,,,,
3PEPTabcpp,rxn08003,((b1245 and b1247 and b1244 and b1329 and b1246) or (b2177 and b2180 and b2178 and b2179) or (b1245 and b1247 and b1246 and b1244 and b1243)),((b1244 and b1245 and b1247 and b1246) or (b1244 and b1245 and b1247 and b1329 and b1246)),FALSE,,,,
4PEPTabcpp,rxn08008,((b1243 and b1247 and b1244 and b1245 and b1246) or (b2177 and b2180 and b2178 and b2179)),((b1244 and b1245 and b1247 and b1246) or (b1243 and b1244 and b1245 and b1247 and b1246) or (b1244 and b1245 and b1247 and b3020 and b1246)),FALSE,,,,
METSOXR1,rxn06077,((b2582 and b4219) or (b3781 and b4219) or (b3551 and b2582) or (b3551 and b3781)),(b0492 or b3781 or (b2582 and b3551) or (b2582 and b4219) or (b3551 and b3781) or (b3781 and b4219)),FALSE,,,,
METSOXR2,rxn07439,((b2582 and b1778) or (b3781 and b1778) or (b1832 and b3781) or (b1832 and b2582)),(b0492 or b2582 or b3781 or (b1778 and b2582) or (b1778 and b3781)),FALSE,,,,
FLVR,rxn03976,(b3844 or (b2764 and b2763)),(b2764 or b3844 or (b2763 and b2764)),FALSE,,,,
RNDR1b,rxn09231,(((b2675 and b2676) and b1064) or ((b2675 and b2676) and b3610) or (b0849 and (b2675 and b2676)) or ((b2675 and b2676) and b1654)),(b1654 or (b0849 and b2676) or (b1064 and b2676) or (b1654 and b2676) or (b2676 and b3610) or (b0849 and b2675 and b2676) or (b1064 and b2675 and b2676) or (b1654 and b2675 and b2676) or (b2675 and b2676 and b3610)),FALSE,,,,
RNDR2b,rxn09232,((b0849 and (b2675 and b2676)) or ((b2675 and b2676) and b1064) or ((b2675 and b2676) and b1654) or ((b2675 and b2676) and b3610)),(b1654 or (b0849 and b2676) or (b1064 and b2676) or (b1654 and b2676) or (b2676 and b3610) or (b0849 and b2675 and b2676) or (b1064 and b2675 and b2676) or (b1654 and b2675 and b2676) or (b2675 and b2676 and b3610)),FALSE,,,,
MALTHXabcpp,rxn08869,(b4034 and b4032 and b4033 and b4035),((b1756 and b4032) or (b4034 and b4035) or (b4032 and b4033 and b4034 and b4035)),FALSE,,,,
MALTPTabcpp,rxn08871,(b4035 and b4032 and b4033 and b4034),((b1756 and b4032) or (b4034 and b4035) or (b4032 and b4033 and b4034 and b4035)),FALSE,,,,
MALTTTRabcpp,rxn08877,(b4033 and b4032 and b4034 and b4035),((b1756 and b4032) or (b4034 and b4035) or (b4032 and b4033 and b4034 and b4035)),FALSE,,,,
MANGLYCptspp,rxn08882,(b2415 and b0731 and b2416),((b2415 and b2416) or (b0731 and b2415 and b2416)),FALSE,,,,
INDOLEt2pp,rxn08750,((b3266 and b3265) and b3035),(b0463 or b3513 or (b2076 and b3513) or (b3035 and b3265) or (b3265 and b3266) or (b3035 and b3265 and b3266) or (b3035 and b3265 and b3514)),FALSE,,,,
NI2uabcpp,,((b3480 and b3476 and b3479 and b3477 and b3478) or b4242),(b2177 or b4242 or (b3476 and b3477 and b3478 and b3479 and b3480)),FALSE,,,,
CRNDabcpp,rxn08259,(b2679 and b2677 and b2678),(b2677 or b3195 or (b2678 and b2679) or (b2677 and b2678 and b2679)),FALSE,,,,
CTBTabcpp,,(b2678 and b2677 and b2679),(b2677 or b3195 or (b2678 and b2679) or (b2677 and b2678 and b2679)),FALSE,,,,
ASR,rxn08171,(b1064 and b3503),(b2495 or (b1064 and b3503)),FALSE,,,,
O16AP1pp,,(b2027 and b2035),(b2027 and b2035),TRUE,,,,
14GLUCANabcpp,,(b4032 and b4034 and b4035 and b4033),((b1756 and b4032) or (b4034 and b4035) or (b4032 and b4033 and b4034 and b4035)),FALSE,,,,
ACMUMptspp,rxn08048,(b2417 and b2416 and b2415 and b2429),((b2415 and b2416 and b2417) or (b2415 and b2416 and b2417 and b2429)),FALSE,,,,
DMSOR2pp,rxn08357,(b1872 and b1873),(b1872 or b1873 or (b1872 and b1873)),FALSE,,,,
HYD3pp,rxn08736,((b0973 and b0974 and b0972) or (b2994 and b2997 and b2996 and b2995)),((b0972 and b0974) or (b2994 and b2997) or (b0972 and b0973 and b0974) or (b2994 and b2995 and b2996 and b2997)),FALSE,,,,
NO3R1pp,rxn09001,((b1467 and b1468 and b1466 and b1465) or (b1224 and b1227 and b1226 and b1225)),(b1467 or (b1224 and b1225 and b1227) or (b1224 and b1225 and b1466) or (b1225 and b1226 and b1227) or (b1466 and b1467 and b1468) or (b1224 and b1225 and b1226 and b1227) or (b1224 and b1225 and b1465 and b1466) or (b1465 and b1466 and b1467 and b1468)),FALSE,,,,
CELBpts,,((b2715 and b2416 and b2415) or (b2416 and (b1738 and b1737 and b1736) and b2415)),(b3206 and b3947),FALSE,,,,
AACPS5,,(b1094 and b2836),(b1094 or b2836 or (b1094 and b2836)),FALSE,,,,
ULA4Ntppi,rxn09357,(b2258 and b4544),(b2258 or (b2258 and b4544)),FALSE,,,,
AACPS8,,(b1094 and b2836),(b1094 or b2836 or (b1094 and b2836)),FALSE,,,,
AACPS9,,(b1094 and b2836),(b1094 or b2836 or (b1094 and b2836)),FALSE,,,,
HXCT,,(b2222 and b2221),(b2221 or b2222 or (b2221 and b2222)),FALSE,,,,
AACPS6,,(b1094 and b2836),(b1094 or b2836 or (b1094 and b2836)),FALSE,,,,
AACPS7,,(b1094 and b2836),(b1094 or b2836 or (b1094 and b2836)),FALSE,,,,
G3PGabcpp,rxn08561,(b3450 and b3451 and b3453 and b3452),(b1311 or (b0262 and b3452 and b3453) or (b3451 and b3452 and b3453) or (b3450 and b3451 and b3452 and b3453)),FALSE,,,,
G3PIabcpp,rxn08563,(b3450 and b3451 and b3453 and b3452),(b1311 or (b0262 and b3452 and b3453) or (b3451 and b3452 and b3453) or (b3450 and b3451 and b3452 and b3453)),FALSE,,,,
DURADx,rxn00719,(b2147 and b2146),(b2146 or b2147 or (b2146 and b2147)),FALSE,,,,
G3PSabcpp,rxn08565,(b3450 and b3451 and b3453 and b3452),(b1311 or (b0262 and b3452 and b3453) or (b3451 and b3452 and b3453) or (b3450 and b3451 and b3452 and b3453)),FALSE,,,,
ALAALAabcpp,rxn08098,((b3544 and b3542 and b3543 and b3540 and b3541) or (b1487 and b1486 and b1483 and b1485 and b1484)),((b1290 and b1294 and b4097) or (b1483 and b1484 and b1485 and b1486) or (b1483 and b1484 and b1485 and b1487) or (b1484 and b1485 and b1486 and b1487) or (b3540 and b3541 and b3543 and b3544) or (b1483 and b1484 and b1485 and b1486 and b1487) or (b3540 and b3541 and b3542 and b3543 and b3544)),FALSE,,,,
G3PEabcpp,rxn08559,(b3450 and b3451 and b3453 and b3452),(b1311 or (b0262 and b3452 and b3453) or (b3451 and b3452 and b3453) or (b3450 and b3451 and b3452 and b3453)),FALSE,,,,
G3PCabcpp,rxn08553,(b3450 and b3451 and b3453 and b3452),(b1311 or (b0262 and b3452 and b3453) or (b3451 and b3452 and b3453) or (b3450 and b3451 and b3452 and b3453)),FALSE,,,,
PROGLYabcpp,rxn09189,(b3544 and b3542 and b3540 and b3541 and b3543),((b1290 and b1294 and b4097) or (b3540 and b3541 and b3543 and b3544) or (b3540 and b3541 and b3542 and b3543 and b3544)),FALSE,,,,
GTHRDabcpp,rxn08676,(b0831 and b0830 and b0829 and b0832),((b0831 and b2180) or (b0829 and b0830 and b0831) or (b0829 and b0831 and b0832) or (b0829 and b0830 and b0831 and b0832)),FALSE,,,,
FRUpts2pp,,(b1818 and b1817 and b2416 and b1819 and b2415),(b2415 or (b1818 and b1819 and b2415 and b2416) or (b1817 and b1818 and b1819 and b2415 and b2416)),FALSE,,,,
HYD1pp,rxn08734,((b0973 and b0974 and b0972) or (b2994 and b2997 and b2996 and b2995) or (b2722 and b2723 and b2724 and b2720 and b2721 and b2719)),((b0972 and b0974) or (b2994 and b2997) or (b0972 and b0973 and b0974) or (b2719 and b2720 and b2721 and b2722) or (b2994 and b2995 and b2996 and b2997) or (b2719 and b2720 and b2721 and b2722 and b2724) or (b2487 and b2719 and b2720 and b2722 and b2723 and b2724) or (b2719 and b2720 and b2721 and b2722 and b2723 and b2724)),FALSE,,,,
FE3DHBZStonex,rxn08482,(((b1252 and b3005 and b3006) and b0805) or ((b1252 and b3005 and b3006) and b2155)),((b0737 and b0738) or (b1252 and b3005 and b3006) or (b0805 and b1252 and b3005 and b3006) or (b1252 and b2155 and b3005 and b3006)),FALSE,,,,
ECAP3pp,,(b3785 and b3793),(b3785 and b3793),TRUE,,,,
FEOXAMtonex,rxn08514,(b0150 and (b1252 and b3005 and b3006)),((b0737 and b0738) or (b1252 and b3005 and b3006) or (b0150 and b1252 and b3005 and b3006) or (b1252 and b1451 and b3005 and b3006)),FALSE,,,,
CYTBO3_4pp,,(b0432 and b0431 and b0429 and b0430),(b0429 or (b0430 and b0431) or (b0429 and b0431 and b0432) or (b0430 and b0431 and b0432) or (b0429 and b0430 and b0431 and b0432)),FALSE,,,,
G3PAT141,,(b1094 and b4041),(b1094 or b4041 or (b1094 and b4041)),FALSE,,,,
G3PAT181,,(b1094 and b4041),(b1094 or b4041 or (b1094 and b4041)),FALSE,,,,
MPTG,,((b1069 and b0089 and b3208) or (b3396 and b1069 and b0089) or (b2519 and b1069 and b0089) or (b0149 and b1069 and b0089)),(b0149 or b1069 or b2519 or b3208 or b3396 or (b0149 and b1069) or (b1069 and b2519) or (b1069 and b3396)),FALSE,,,,
MPTG2,,((b0149 and b1069 and b0089) or (b1069 and b0089 and b3208) or (b3396 and b1069 and b0089) or (b2519 and b1069 and b0089)),(b0149 or b1069 or b2519 or b3208 or b3396 or (b0149 and b1069) or (b1069 and b2519) or (b1069 and b3396)),FALSE,,,,
MCTP1App,rxn08887,((b0635 and b0084 and b3396) or (b0635 and b0084 and b0149)),(b0084 or b0149 or b0635 or b3396),FALSE,,,,
MCTP2App,rxn08889,((b0635 and b0084 and b3396) or (b0635 and b0084 and b0149)),(b0084 or b0149 or b0635 or b3396),FALSE,,,,
FADRx2,rxn08459,(b2764 and b2763),(b2764 or (b2763 and b2764)),FALSE,,,,
G3PAT140,,(b1094 and b4041),(b1094 or b4041 or (b1094 and b4041)),FALSE,,,,
G3PAT160,,(b1094 and b4041),(b1094 or b4041 or (b1094 and b4041)),FALSE,,,,
G3PAT161,,(b1094 and b4041),(b1094 or b4041 or (b1094 and b4041)),FALSE,,,,
G3PAT180,,(b1094 and b4041),(b1094 or b4041 or (b1094 and b4041)),FALSE,,,,
CGLYabcpp,rxn05539,(b3544 and b3542 and b3543 and b3540 and b3541),((b1290 and b1294 and b4097) or (b3540 and b3541 and b3543 and b3544) or (b3540 and b3541 and b3542 and b3543 and b3544)),FALSE,,,,
G3PAT120,,(b1094 and b4041),(b1094 or b4041 or (b1094 and b4041)),FALSE,,,,
GTHRDabc2pp,rxn08675,(b0886 and b0887),(b0449 or (b0886 and b0887)),FALSE,,,,
POR5,,((b1378 and b0684) or (b1378 and b2895)),((b0684 and b1378) or (b1378 and b2895)),TRUE,,,,
LIPAabctex,,(b4262 and b4261 and b3199 and b3201 and b3200 and b0054 and b0641),(b4391 or (b3199 and b3200 and b3201 and b4262) or (b3199 and b3200 and b3201 and b4261 and b4262)),FALSE,,,,
S2FE2SR,,(b1680 and b1679 and b1682 and b1681 and b1683),((b1679 and b1681 and b1682) or (b1679 and b1680 and b1681 and b1682) or (b1679 and b1681 and b1682 and b1683) or (b1679 and b1680 and b1681 and b1682 and b1683)),FALSE,,,,
CLIPAabctex,,(b4262 and b4261 and b3199 and b3201 and b3200 and b0054 and b0641),((b3199 and b3200 and b3201 and b4262) or (b3199 and b3200 and b3201 and b4261 and b4262)),FALSE,,,,
K2L4Aabctex,,(b4262 and b4261 and b3199 and b3201 and b3200 and b0054 and b0641),(b4391 or (b3199 and b3200 and b3201 and b4262) or (b3199 and b3200 and b3201 and b4261 and b4262)),FALSE,,,,
FDH4pp,,((b3893 and b3894 and b3892) or (b1474 and b1476 and b1475)),(b1474 or (b1474 and b3892) or (b1475 and b1476) or (b3892 and b3893) or (b1474 and b1475 and b1476) or (b1474 and b3892 and b3893) or (b3892 and b3893 and b3894)),FALSE,,,,
FDH5pp,,((b1474 and b1476 and b1475) or (b3893 and b3894 and b3892)),(b1474 or (b1475 and b1476) or (b3892 and b3893) or (b1474 and b1475 and b1476) or (b1474 and b3892 and b3893) or (b3892 and b3893 and b3894)),FALSE,,,,
ACPPAT140,,(b1094 and b1090),(b1090 or (b1090 and b1094)),FALSE,,,,
MOADSUx,,(b0784 and b2530),(b0784 and b2530),TRUE,,,,
CMtpp,,((b0463 and b3035 and b2470) or (b0463 and b3035 and b0462)),((b0463 and b2470) or (b0463 and b3035) or (b2470 and b3035) or (b0462 and b0463 and b3035) or (b0463 and b2470 and b3035) or (b0463 and b3035 and b3514)),FALSE,,,,
FUSAtpp,,((b0463 and b3035 and b0462) or (b0463 and b3035 and b2470)),((b0463 and b2470) or (b0463 and b3035) or (b2470 and b3035) or (b0462 and b0463 and b3035) or (b0463 and b2470 and b3035) or (b0463 and b3035 and b3514)),FALSE,,,,
MINCYCtpp,,((b0463 and b3035 and b2470) or (b0463 and b3035 and b0462)),((b0463 and b2470) or (b0463 and b3035) or (b2470 and b3035) or (b0462 and b0463 and b3035) or (b0463 and b2470 and b3035) or (b0463 and b3035 and b3514)),FALSE,,,,
SCYSDS,,(b1680 and b1679),(b1679 or (b1679 and b1680)),FALSE,,,,
DOXRBCNtpp,,((b0463 and b3035 and b0462) or (b0463 and b3035 and b2470)),((b0463 and b2470) or (b0463 and b3035) or (b2470 and b3035) or (b0462 and b0463 and b3035) or (b0463 and b2470 and b3035) or (b0463 and b3035 and b3514)),FALSE,,,,
S4FE4SR,,(b1682 and b1681 and b1683),((b1681 and b1682) or (b1681 and b1682 and b1683)),FALSE,,,,
ACPPAT141,,(b1094 and b1090),(b1090 or (b1090 and b1094)),FALSE,,,,
ACPPAT161,,(b1094 and b1090),(b1090 or (b1090 and b1094)),FALSE,,,,
ACPPAT180,,(b1094 and b1090),(b1090 or (b1090 and b1094)),FALSE,,,,
MECDPDH5,,((b2515 and b2895) or (b2515 and b0684)),((b0684 and b2515) or (b2515 and b2895)),TRUE,,,,
RNTR1c2,,((b3924 and b0684 and b4238 and b4237) or (b3924 and b2895 and b4238 and b4237) or (b0684 and b4238) or (b2895 and b4238)),((b0684 and b4238) or (b2895 and b4238) or (b0684 and b3924 and b4237 and b4238) or (b2895 and b3924 and b4237 and b4238)),TRUE,,,,
RNTR2c2,,((b3924 and b2895 and b4238 and b4237) or (b2895 and b4238) or (b3924 and b0684 and b4238 and b4237) or (b0684 and b4238)),((b0684 and b4238) or (b2895 and b4238) or (b0684 and b3924 and b4237 and b4238) or (b2895 and b3924 and b4237 and b4238)),TRUE,,,,
S2FE2ST,,(b1682 and b1681 and b1684 and b1683),(b1681 and b1682 and b1683 and b1684),TRUE,,,,
RNTR3c2,,((b3924 and b0684 and b4238 and b4237) or (b3924 and b2895 and b4238 and b4237) or (b2895 and b4238) or (b0684 and b4238)),((b0684 and b4238) or (b2895 and b4238) or (b0684 and b3924 and b4237 and b4238) or (b2895 and b3924 and b4237 and b4238)),TRUE,,,,
RNTR4c2,,((b3924 and b0684 and b4238 and b4237) or (b3924 and b2895 and b4238 and b4237) or (b0684 and b4238) or (b2895 and b4238)),((b0684 and b4238) or (b2895 and b4238) or (b0684 and b3924 and b4237 and b4238) or (b2895 and b3924 and b4237 and b4238)),TRUE,,,,
FLDR2,,((b3924 and b2895) or (b3924 and b0684)),((b0684 and b3924) or (b2895 and b3924)),TRUE,,,,
NOVBCNtpp,,((b0463 and b3035 and b2470) or (b0463 and b3035 and b0462)),((b0463 and b2470) or (b0463 and b3035) or (b2470 and b3035) or (b0462 and b0463 and b3035) or (b0463 and b2470 and b3035) or (b0463 and b3035 and b3514)),FALSE,,,,
